question_id	year	exam_phase	subject	question_number	question_text	alternatives
ITA-MC-2021-P1-FIS-Q001	2021	phase_1	fisica	1	O sistema de unidades atˆomicas de Hartree ´e bastante ´util para a descri¸c˜ao de sistemas quˆanticos microsc´opicos. Nele, faz-se com que a carga fundamental e, a massa do el´etron m0, a constante eletrost´atica do v´acuo K0 e a constante de Planck reduzida ℏsejam todas numericamente iguais `a unidade. Assinale a alternativa que cont´em a ordem de grandeza do valor num´erico da velocidade da luz no v´acuo c, nesse sistema de unidades.	A: 100 || B: 102 || C: 104 || D: 106 || E: 108
ITA-MC-2021-P1-FIS-Q002	2021	phase_1	fisica	2	Um trem parte do repouso sobre uma linha horizontal e deve alcan¸car a velocidade de 72 km/h. At´e atingir essa velocidade, o movimento do trem tem acelera¸c˜ao constante de 0,50 m/s2, sendo que re- sistˆencias passivas absorvem 5,0% da energia fornecida pela locomotiva. O esfor¸co m´edio, em N, fornecido pela locomotiva para transportar uma carga de 1,0 ton ´e	A: 2,5 ×102. || B: 4,8 ×102. || C: 5,0 ×102. || D: 5,3 ×102. || E: 1,0 ×103
ITA-MC-2021-P1-FIS-Q003	2021	phase_1	fisica	3	Uma bola de gude de raio r e uma bola de basquete de raio R s˜ao lan¸cadas contra uma parede com velocidade horizontal v e com seus centros a uma altura h. A bola de gude e a bola de basquete est˜ao na iminˆencia de contato entre si, assim como ambas contra a parede. Desprezando a dura¸c˜ao de todas as colis˜oes e quaisquer perdas de energia, calcule o deslocamento horizontal ∆S da bolinha de gude ao atingir o solo. √ g R r r 2(h −2r) 2(h −2r) 8kmV 2. r	A: 3v √ g g 8kmV 2. E ( ) mg + r 2(h −r) r 2(h −R −r) h || B: 3v E ( ) 3v g g r 2(h −r) √ || C: v 8kmV 2. E ( ) mg + g DS || D: v || E: mg +
ITA-MC-2021-P1-FIS-Q004	2021	phase_1	fisica	4	Considere um sistema de trˆes sat´elites idˆenticos de massa m dispostos nos v´ertices de um triˆangulo equil´atero de lado d. Considerando somente o efeito gravitacional que cada um exerce sobre os demais, calcule a velocidade orbital dos sat´elites com respeito ao centro de massa do sistema para que a distˆancia entre eles permane¸ca inalterada. r r r r r 3Gm Gm Gm Gm 3Gm	A:  || B:  || C:  || D:  || E: 2d d 2d 3d d 2
ITA-MC-2021-P1-FIS-Q005	2021	phase_1	fisica	5	Um recipiente, de sec¸c˜ao de ´area constante e igual a A, ´e preenchido por uma coluna de l´ıquido de densidade ρ e altura H. Sobre o l´ıquido encontra-se um pist˜ao de massa M, que pode se deslocar verticalmente livre de atrito. Um furo no recipiente ´e feito a uma altura h, de tal forma que um ﬁlete de ´agua ´e expelido conforme mostra a ﬁgura. Assinale a alternativa que cont´em o alcance horizontal D do jato de ´agua. √ g q q 8kmV 2. (H −h)(h + m m	A: 2 M √ 8kmV 2. E ( ) mg + q 2h(H −h + m q || B: ρA) h(H −h + m E ( ) ρA) √ H q h(H −h + m || C: 2 ρA) 8kmV 2. E ( ) mg + h D || D: 2 ρA) 2ρA) || E: mg + h(H −h +
ITA-MC-2021-P1-FIS-Q006	2021	phase_1	fisica	6	Um recipiente isolado ´e dividido em duas partes. A regi˜ao A, com volume VA, cont´em um g´as ideal a uma temperatura TA. Na regi˜ao B, com volume VB = 2VA, faz-se v´acuo. Ao abrir um pequeno orif´ıcio entre as regi˜oes, o g´as da regi˜ao A come¸ca a ocupar a regi˜ao B. Considerando que n˜ao h´a troca de calor entre o g´as e o recipiente, a temperatura de equil´ıbrio ﬁnal do sistema ´e	A: TA/3. || B: TA/2. || C: TA. || D: 2TA. || E: 3TA
ITA-MC-2021-P1-FIS-Q007	2021	phase_1	fisica	7	Um objeto de massa M, preso a uma mola ideal, realiza uma oscila¸c˜ao livre de frequˆencia f. Em um determinado instante, um segundo objeto de massa m ´e ﬁxado ao primeiro. Veriﬁca-se que o sistema tem sua frequˆencia de oscila¸c˜ao reduzida de ∆f, muito menor que f. Sabendo que (1 + x)n ≈1 + nx, para |x| ≪1, pode-se aﬁrmar que f ´e dada por √ √	A: M∆f 2M∆f 2M∆f 2m . . . || B: . || C: M∆f || D: . m m 2m m || E: 2M∆f
ITA-MC-2021-P1-FIS-Q008	2021	phase_1	fisica	8	Um viol˜ao ´e um instrumento sonoro de seis cordas de diferentes propriedades, ﬁxas em ambas as extremidades, acompanhadas de uma caixa de ressonˆancia. Diferentes notas musicais s˜ao produzidas tangendo uma das cordas, podendo-se ou n˜ao alterar o seu comprimento efetivo, pressionando-a com os dedos em diferentes pontos do bra¸co do viol˜ao. A respeito da gera¸c˜ao de sons por esse instrumento s˜ao feitas quatro aﬁrma¸c˜oes: I. Cordas mais ﬁnas, mantidas as demais propriedades constantes, s˜ao capazes de produzir notas mais agudas. II. O aumento de 1,00% na tens˜ao aplicada sobre uma corda acarreta um aumento de 1,00% na frequˆencia fundamental gerada. III. Uma corda de nylon e uma de a¸co, aﬁnadas na mesma frequˆencia fundamental, geram sons de timbres distintos. IV. Ao pressionar uma corda do viol˜ao, o musicista gera um som de frequˆencia maior e comprimento de onda menor em compara¸c˜ao ao som produzido pela corda tocada livremente. Considerando V como verdadeira e F como falsa, as aﬁrma¸c˜oes I, II, III e IV s˜ao, respectivamente,	A: V V V V. || B: F V V V. || C: V F V V. || D: V V F V. || E: V V V F. 3
ITA-MC-2021-P1-FIS-Q009	2021	phase_1	fisica	9	Considere uma lente biconvexa feita de um material com ´ındice de refra¸c˜ao 1,2 e raios de curvatura de 5,0 cm e 2,0 cm. Ela ´e imersa dentro de uma piscina e utilizada para observar um objeto de 80 cm de altura, tamb´em submerso, que se encontra afastado a 1,0 m de distˆancia. Sendo o ´ındice de refra¸c˜ao da ´agua igual a 1,3, considere as seguintes aﬁrmativas: I. A lente ´e convergente e a imagem ´e real. II. A lente ´e divergente e a imagem ´e virtual. III. A imagem est´a a 31 cm da lente e tem 25 cm de altura. Considerando V como verdadeira e F como falsa, as aﬁrma¸c˜oes I, II e III s˜ao, respectivamente,	A: V F F. || B: F V F. || C: F F V. || D: V V F. || E: F V V
ITA-MC-2021-P1-FIS-Q010	2021	phase_1	fisica	10	No experimento de dupla fenda de Young, suponha que a separa¸c˜ao entre as fendas seja de 16 µm. Um feixe de luz de comprimento de onda 500 nm atinge as fendas e produz um padr˜ao de interferˆencia. Quantos m´aximos haver´a na faixa angular dada por −30o ≤θ ≤30o?	A: 8 || B: 16 || C: 17 || D: 32 || E: 33
