question_id	year	exam_phase	subject	question_number	question_text	alternatives
ITA-MC-2022-P1-FIS-Q001	2022	phase_1	fisica	1	Em 2019, no 144o anivers´ario da Conven¸c˜ao do Metro, as unidades b´asicas do SI foram redeﬁnidas pelo Escrit´orio Internacional de Pesos e Medidas (BIPM). A seguir, s˜ao feitas algumas aﬁrma¸c˜oes sobre as modiﬁca¸c˜oes introduzidas pela redeﬁni¸c˜ao de 2019. 1. S˜ao apenas sete as constantes da natureza deﬁnidas como exatas, a saber: a velocidade da luz (c), a frequˆencia de transi¸c˜ao de estrutura hiperﬁna do C´esio-133 (∆νCs), a constante de Planck (h), a carga elementar (e), a constante de Boltzmann (kB), o n´umero de Avogrado (NA) e a eﬁc´acia luminosa da radia¸c˜ao monocrom´atica na frequˆencia de 540 THz (Kcd). 2. S˜ao apenas seis as constantes da natureza deﬁnidas como exatas, a saber: a velocidade da luz (c), a constante de Planck (h), a carga elementar (e), a constante de Boltzmann (kB), o n´umero de Avogrado (NA) e a eﬁc´acia luminosa da radia¸c˜ao monocrom´atica na frequˆencia de 683 THz (Kcd). 4. O prot´otipo de platina e ir´ıdio, conservado como padr˜ao do kg, tornou-se obsoleto e o quilograma passou a ser deﬁnido apenas em termos de constantes fundamentais exatas. 8. As sete unidades b´asicas na redeﬁni¸c˜ao do SI s˜ao: segundo, metro, quilograma, coulomb, mol, Kelvin e candela. Assinale a alternativa que cont´em a soma dos n´umeros correspondentes `as aﬁrma¸c˜oes verdadeiras.	A: 2 || B: 5 || C: 8 || D: 10 || E: 13
ITA-MC-2022-P1-FIS-Q002	2022	phase_1	fisica	2	A bola A, de massa m, ´e liberada a partir do repouso de um edif´ıcio exatamente quando a bola B, de massa 3m, ´e lan¸cada verticalmente para cima a partir do solo. As duas bolas colidem quando a bola A tem o dobro da velocidade de B e sentido oposto. O coeﬁciente de restitui¸c˜ao da colis˜ao ´e dado por e = 0,5. Determine a raz˜ao das velocidades, |vA/vB|, logo ap´os o choque.	A: 0 || B: 1 || C: 5 || D: 11 || E: 13
ITA-MC-2022-P1-FIS-Q003	2022	phase_1	fisica	3	Uma ponte levadi¸ca uniforme com peso P e compri- g mento L ´e sustentada por uma corda vertical na sua extremidade B, que pode sustentar uma tens˜ao m´axima de 1,5 P. A ponte ´e articu- B lada no ponto ﬁxo A. Um homem de peso Ph come¸ca a subir a ponte a partir do ponto A at´e causar o rompimento da corda. Assinale a q A alternativa que cont´em a distˆancia percorrida pelo homem ao longo da ponte.	A: PL/Ph || B: PhL/P || C: PL/Ph E ( ) mg + 2 || D: 2PL/Ph || E: 3PL/Ph √ 8kmV 2.
ITA-MC-2022-P1-FIS-Q004	2022	phase_1	fisica	4	Um garoto de massa m desliza sobre um escorregador de superfície lisa e com raio de curvatura constante dado por R. O platô superior de onde o menino inicia a sua descida encontra-se à altura H do chão. Calcule a reação normal de contato que a rampa exerce sobre o garoto no instante iminentemente anterior à chegada aproximadamente horizontal dele ao chão. mg (1425) O mg (1-5) ike i A 2H H O mg | 1+ — D mg [1— — O q B (O mg(14+ 5) O mg (1-7) | H 2H — E mg (1— — R | H iy C( ) mg A a x	A:  || B:  || C:  || D:  || E: 
ITA-MC-2022-P1-FIS-Q005	2022	phase_1	fisica	5	Em seu experimento para medir a constante gravitacional G, Henry Cavendish utilizou uma balanca de torção composta por uma haste leve e longa, de comprimento L, com duas massas m em suas extremidades, suspensa por um fio fixado ao seu centro. Dois objetos de massa M foram aproximados às extremidades da haste, conforme mostra a figura abaixo, de tal forma que a haste sofreu um pequeno ângulo de deflexão Aq a partir da posição inicial de repouso, e foi medida a distância b entre os centros das massas m e M mais próximos. Quando torcido de um ângulo à, o fio gera um torque restaurador 7 = — «q. Determine a expressão aproximada de G, em termos dos parâmetros do sistema. b Ac) tão DRA nl ' ! 4LMm B() b-kAd M 2LMm C() b2kAd L LMm ] 2b°kA LMm O m E() 2eAe Ab?kA 1 da	A:  || B:  || C:  || D:  || E: 
ITA-MC-2022-P1-FIS-Q006	2022	phase_1	fisica	6	Um fluido de densidade p, incompressível e homogêneo, move-se por um tubo horizontal com duas secções transversais de áreas A; e Ag = kA;, em que k é uma constante real positiva menor que 1. Um elemento de volume de fluido entra no tubo com velocidade v; na região onde a secção transversal de área é A, e sai através da outra extremidade. O estreitamento do tubo acontece em um curto intervalo de comprimento, muito menor do que o seu comprimento total. Assinale a alternativa que contém a diferença de pressão do fluido entre os pontos de entrada e saída do tubo. A()O D() put (1h 2 k 2 B Pry () — 2 2 5 E (O) fi (1-8 2 k vt 2 2 c(y A (E (1—k 2 k2 3	A:  || B:  || C:  || D:  || E: 
ITA-MC-2022-P1-FIS-Q007	2022	phase_1	fisica	7	No laborat´orio de mecˆanica, carrinhos de massas M e 2M s˜ao unidos por uma mola el´astica ideal e oscilam livremente em um plano liso com per´ıodo T. A seguir, o sistema ´e comprimido contra uma parede por uma for¸ca F atuando sobre a massa M, conforme ilustra a ﬁgura abaixo. Nessa situa¸c˜ao, a mola ´e sujeita a uma compress˜ao l com respeito ao seu comprimento natural. Em um determinado instante, a massa M ´e liberada e o sistema entra em movimento. Assinale a alternativa que cont´em a m´axima velocidade atingida pelo centro de massa no movimento subsequente. r 8 3 × πl	A: 0 || B: 2πl r 27 × πl 8 2M M F T || C: 2πl 8kmV 2. E ( ) mg+ 3T || D: T || E: T √
ITA-MC-2022-P1-FIS-Q008	2022	phase_1	fisica	8	Um pesquisador mergulha uma lˆamina bimet´alica de lat˜ao e ferro de 5 cm de comprimento, 0,3 mm de espessura e perfeitamente plana a 20 ◦C em um ﬂuido para estimar a sua temperatura. Um feixe de laser incide sobre a extremidade superior da lˆamina, como mostra a ﬁgura abaixo. A extremidade inferior ´e mantida ﬁxa e sempre vertical. A lˆamina bimet´alica encontra-se `a distˆancia d = 20,0 cm de uma das paredes do recipiente, atravessada pelo feixe no ponto P1. O laser reﬂete na extremidade da lˆamina bimet´alica e volta a incidir sobre a mesma parede no ponto P2, distante L = 11,4 cm do ponto P1. As lˆaminas superpostas tˆem a mesma espessura, o coeﬁciente de dilata¸c˜ao linear do lat˜ao ´e igual a α1 = 18 × 10−6K−1 e do ferro igual a α2 = 2 × 10−6K−1. Assinale a alternativa que apresenta o intervalo contendo a melhor estimativa da temperatura do ﬂuido. P2 L=11,4 cm	A: 30◦C ≤T ≤80 ◦C Fonte de laser || B: 80◦C ≤T ≤130 ◦C P1 || C: 130◦C ≤T ≤180 ◦C d = 20,0 mm || D: 180◦C ≤T ≤230 ◦C || E: 230◦C ≤T ≤280 ◦C
ITA-MC-2022-P1-FIS-Q009	2022	phase_1	fisica	9	Muitos instrumentos musicais, como o piano, geram sons a partir da excita¸c˜ao de cordas com extremidades ﬁxas. Ao pressionar uma tecla do piano, um dispositivo mecˆanico percute uma corda tensionada, produzindo uma onda sonora. O som produzido pelo piano em um determinado instante de tempo ´e captado e a sua decomposi¸c˜ao espectral ´e fornecida no gr´aﬁco a seguir, `a respeito do qual s˜ao feitas trˆes senten¸cas. I. Para gerar um espectro sonoro dessa natureza ´e necess´ario acionar 5 teclas do piano. II. A velocidade de propaga¸c˜ao de cada nota no ar ´e proporcional `a sua frequˆencia caracter´ıstica. III. A frequˆencia fundamental da corda, sujeita a uma tens˜ao T, ´e inversamente proporcional `a sua densidade linear de massa. 4 Assinale a alternativa correta.	A: As senten¸cas I, II e III s˜ao falsas. || B: Apenas a senten¸ca I ´e verdadeira. || C: Apenas a senten¸ca II ´e verdadeira. || D: Apenas a senten¸ca III ´e verdadeira. || E: Apenas as senten¸cas I e II s˜ao verdadeiras
ITA-MC-2022-P1-FIS-Q010	2022	phase_1	fisica	10	Uma lente delgada convergente, com distˆancia focal de 5 cm, ´e alinhada `a frente de um espelho cˆoncavo, de distˆancia focal de 2 cm, de forma a compartilhar o mesmo eixo ´optico. Seja x = 0 a posi¸c˜ao do v´ertice do espelho e x = 8 cm a posi¸c˜ao da lente. Quais as posi¸c˜oes entre os elementos ´opticos em que se pode colocar um objeto de forma que nenhuma imagem seja formada na regi˜ao x > 8 cm?	A: 0 cm ≤x ≤2,67 cm || B: 3 cm ≤x ≤6 cm || C: 3 cm ≤x ≤8 cm E ( ) mg + || D: 5 cm ≤x ≤8 cm || E: 6 cm ≤x ≤8 cm √ 8kmV 2.
