question_id	year	exam_phase	subject	question_number	question_text	alternatives
ITA-MC-2024-P1-FIS-Q001	2024	phase_1	fisica	1	Em um centro de pesquisa foram desenvolvidos trˆes equipamentos para medic¸ ˜oes de tempo, comprimento e massa, cujas leituras s˜ao Et, Ec, Em, respectivamente. As curvas de calibrac¸ ˜ao de cada equipamento est˜ao apresenta- das na ﬁgura. Esses equipamentos foram utiliza- dos para medir o movimento retil´ıneo uniforme de uma part´ıcula pontual. A medic¸ ˜ao da massa indicou leitura de 3 contagens, e a medic¸ ˜ao do movimento mostrou que ele percorreu uma distˆancia entre as posic¸ ˜oes indicadas pelas contagens 6 e 2, em um intervalo de tempo de 0 a 1 contagens. Pode-se aﬁrmar que a energia cin´etica da part´ıcula ´e:	A: 20 J. || B: 10 J. || C: 2,0 µJ. || D: 1,0 µJ. || E: 0,75 µJ
ITA-MC-2024-P1-FIS-Q002	2024	phase_1	fisica	2	teto de um recinto fechado, a uma altura H do solo, conforme mostra a ﬁgura. No recinto h´a um objeto de altura h (h < H/2) a uma distˆancia 2a de uma das paredes. A lˆampada desprende-se, H iniciando um movimento de queda livre, e atinge o solo a uma distˆancia 3a da parede. Considere que o efeito de reﬂex˜ao de luz nas paredes ´e des- h prez´ıvel e que a fonte de luz ´e pontual. a a a Assinale a alternativa que apresenta a express˜ao correta do m´odulo da velocidade da sombra a partir do instante em que esta comec¸a a ser projetada sobre a parede. q q p	A: 2 q 2g(H – 3 p || B: 2 || C: 1 2g(H – 3 2h) 2h) || D: 2 2h) 2g(H – h) || E: 2 2g(H – h) 2g(H – 3
ITA-MC-2024-P1-FIS-Q003	2024	phase_1	fisica	3	Uma esfera de raio R possui uma cavidade esf´erica interna de raio R/2 conforme mostra a ﬁgura. A cavidade tan- gencia internamente a esfera no seu ´apice A, que est´a a uma al- tura H = 15R do ponto S, localizado no solo verticalmente abaixo. Os dois centros de curvatura e o ponto A se encontram na linha vertical que passa por S. A esfera ´e ent˜ao abandonada de seu repouso em queda livre, atinge o solo em S e inverte seu movi- mento. Considerando que a distribuic¸ ˜ao de massa ´e homogˆenea na regi˜ao s´olida do objeto e que o coeﬁciente de restituic¸ ˜ao da co- lis˜ao ´e 0,80, a altura m´axima alcanc¸ada pelo centro de massa da esfera ap´os a colis˜ao ´e aproximadamente igual a:	A: 7,7R. || B: 8,5R. || C: 9,3R. || D: 10,1R. || E: 10,9R
ITA-MC-2024-P1-FIS-Q004	2024	phase_1	fisica	4	Sejam duas bases de lanc¸amento de foguete. A primeira localizada em uma cidade no equador terrestre e a segunda na latitude 60◦. Assinale a alternativa que corresponde `a melhor estimativa da raz˜ao entre os impulsos necess´arios para que um foguete seja lanc¸ado ao espac¸o partindo da primeira base e da segunda base.	A: 1,08 || B: 0,98 || C: 0,87 || D: 0,76 || E: 0,68
ITA-MC-2024-P1-FIS-Q005	2024	phase_1	fisica	5	Na sua obra “Di´alogo sobre os Dois Principais Sistemas do Mundo”, Galileu Galilei cita a variac¸ ˜ao de tamanho aparente de Marte no c´eu como uma evidˆencia de que os planetas n˜ao orbitavam a Terra: Simpl´ıcio: Mas quais s˜ao os ind´ıcios de que eles se movem em torno do Sol? Salviati: Isso se conclui, para os trˆes planetas superiores, Marte, J´upiter e Saturno, a partir de eles se encontrarem sempre muito pr´oximos `a Terra quando est˜ao em oposic¸ ˜ao ao Sol, e muito distantes quando est˜ao em conjunc¸ ˜ao; e estas aproximac¸ ˜ao e afastamento tˆem tanta importˆancia que, quando Marte est´a pr´oximo, vˆe-se 60 vezes maior que quando est´a afastad´ıssimo (MARICONDA, 2011, p. 404). Com base nos dados dispon´ıveis no trecho e sabendo que a raz˜ao apontada por Galileu refere-se `a ´area aparente de Marte visto da Terra, assinale a alternativa que cont´em a melhor estimativa do per´ıodo de revoluc¸ ˜ao de Marte ao redor do Sol em meses terrestres.	A: 13 meses || B: 18 meses || C: 30 meses || D: 42 meses || E: 55 meses
ITA-MC-2024-P1-FIS-Q006	2024	phase_1	fisica	6	Um professor montou um experimento com dois pˆendulos simples, com ﬁos de mesmo comprimento. Os pˆendulos se mantiveram perfeitamente s´ıncronos, cada qual com per´ıodo de 2s, em um dia cuja temperatura local era de 10◦C. Num outro dia, passados alguns minutos, notou- se que os pˆendulos perdiam a sincronicidade. O professor associou tal fenˆomeno `a variac¸ ˜ao de temperatura local, j´a que o termˆometro do laborat´orio marcava 30◦C naquele dia e que o coeﬁciente de dilatac¸ ˜ao t´ermica dos ﬁos era de α1 = 2 × 10–5 ◦C–1 e α2 = 7 × 10–5 ◦C–1. Assinale a alternativa que cont´em a melhor estimativa do intervalo de tempo entre o in´ıcio do movi- mento e o instante em que os pˆendulos apresentaram uma defasagem de meio ciclo pela primeira vez.	A: 17 min || B: 33 min || C: 40 min || D: 66 min || E: 80 min 3
ITA-MC-2024-P1-FIS-Q007	2024	phase_1	fisica	7	Um microsc´opio ´optico, formado por duas lentes convergentes, ´e utilizado para observar uma amostra biol´ogica em laborat´orio. A lente objetiva tem uma distˆancia focal de 5 mm, enquanto a ocular tem uma distˆancia focal de 70 mm. A distˆancia entre a objetiva e a ocular ´e ajustada para 190 mm. Sabendo que a amostra encontra-se a 5,2 mm da lente objetiva, assinale a alternativa que cont´em o m´odulo do aumento linear do microsc´opio descrito.	A: 7 || B: 14 || C: 25 || D: 75 || E: 175
ITA-MC-2024-P1-FIS-Q008	2024	phase_1	fisica	8	Considere que no experimento de Young da dupla fenda, uma lente, composta de um material com ´ındice de refrac¸ ˜ao n (1 < n < 2), no formato de um semic´ırculo de raio R, ´e colocada na sa´ıda de uma das fendas, conforme mostra a ﬁgura. Sabendo que o comprimento de onda λ ´e maior que R e que a distˆancia entre o anteparo e as fendas, L, ´e muito maior do que λ, assinale a alternativa que corresponde `a express˜ao da posic¸ ˜ao xm do m-´esimo pico do padr˜ao de inter- ferˆencia acima do m´aximo central.	A: (λm + (n – 1)R) L || B: (λm – nR) L a a || C: λm L || D: (λm + nR) L || E: (λm – nR) L a + (n – 1)R a 2a
ITA-MC-2024-P1-FIS-Q009	2024	phase_1	fisica	9	Ao redor de uma carga el´etrica Q, localizada no ponto y (0, R/2), existe uma casca met´alica aterrada de raio R e com centro localizado na origem do sistema de coordenadas, conforme ilustrado Q na ﬁgura. A respeito dessa situac¸ ˜ao f´ısica, s˜ao feitas as seguintes aﬁrmac¸ ˜oes. x I. O campo el´etrico no exterior da casca met´alica ´e nulo. R II. A carga el´etrica induzida na casca met´alica ´e igual a –Q. III. O campo el´etrico no ponto (0, 3R/4) ´e mais intenso do que o campo el´etrico no ponto (0, R/4). Assinale a alternativa que cont´em todas as aﬁrmac¸ ˜oes corretas com respeito ao sistema descrito. I I e II I e III II e III I, II e III	A:  || B:  || C:  || D:  || E: 
ITA-MC-2024-P1-FIS-Q010	2024	phase_1	fisica	10	Um pr´oton com posic¸ ˜ao inicial x = R e velo- cidade inicial⃗v0 na direc¸ ˜ao y (v0 ≪c) adentra uma regi˜ao (x > 0 e y > 0) onde atua um campo magn´etico perpendi- cular ao plano xy, conforme mostra a ﬁgura. Considere que logo ap´os acessar esta regi˜ao a trajet´oria do pr´oton apre- senta um raio de curvatura R (L/2 < R < L) e que um detetor suﬁcientemente estreito ´e posicionado para sua contagem em y = L/2. Determine a posic¸ ˜ao em x que o detetor deve estar para a contagem deste pr´oton.	A: R cos(arcsen(L/R)) || B: 0 4 || C: R sen(arccos(L/(2R))) || D: R cos(arcsen(L/(2R))) || E: R sen(arccos(L/R))
