question_id	year	exam_phase	subject	question_number	question_text	alternatives
ITA-MC-2014-SP-FIS-Q001	2014	single_phase	fisica	1	O m´odulo de Young de um material mede sua resistˆencia a deforma¸c˜oes causadas por esfor¸cos externos. Numa parede vertical, encontra-se engastado um g s´olido maci¸co de massa espec´ıﬁca ρ e m´odulo de Young E, em formato de parale- a⃗ lep´ıpedo reto, cujas dimens˜oes s˜ao indicadas na ﬁgura. Com base nas correla¸c˜oes entre grandezas f´ısicas, assinale a alternativa que melhor expressa a deﬂex˜ao vertical h sofrida pela extremidade livre do s´olido pela a¸c˜ao do seu pr´oprio peso.	A: 3ρgab/(2E) b || B: 3ρgb2/(2E) || C: 3Eb2h2/(2ρga4) || D: 3ρga4/(2Eh2) || E: 3ρgbh/(2E)
ITA-MC-2014-SP-FIS-Q002	2014	single_phase	fisica	2	Considere dois sat´elites artiﬁciais S e T em torno da Terra. S descreve uma ´orbita el´ıptica com semieixo maior a, e T, uma ´orbita circular de raio a, com os respectivos vetores posi¸c˜ao⃗rS e⃗rT com origem no centro da Terra. ´E correto aﬁrmar que	A: para o mesmo intervalo de tempo, a ´area varrida por⃗rS ´e igual `a varrida por⃗rT. || B: para o mesmo intervalo de tempo, a ´area varrida por⃗rS ´e maior que a varrida por⃗rT. || C: o per´ıodo de transla¸c˜ao de S ´e igual ao de T. || D: o per´ıodo de transla¸c˜ao de S ´e maior que o de T. || E: se S e T tˆem a mesma massa, ent˜ao a energia mecˆanica de S ´e maior que a de T
ITA-MC-2014-SP-FIS-Q003	2014	single_phase	fisica	3	Uma esfera de massa m tampa um buraco circular de raio r no fundo de um recipiente cheio de ´agua de massa espec´ıﬁca ρ. Baixando-se lentamente o n´ıvel da h ´agua, num dado momento a esfera se desprende do fundo do recipiente. Assinale a a alternativa que expressa a altura h do n´ıvel de ´agua para que isto aconte¸ca, sabendo que o topo da esfera, a uma altura a do fundo do recipiente, permanece sempre 2r coberto de ´agua.	A: m/(ρπa2) || B: m/(ρπr2) || C: a(3r2 + a2)/(6r2) || D: a/2 −m/(ρπr2) || E: a(3r2 + a2)/(6r2) −m/(ρπr2)
ITA-MC-2014-SP-FIS-Q004	2014	single_phase	fisica	4	Sobre uma placa de vidro plana ´e colocada uma lente plano-cˆoncava, com 1,50 de ´ındice de refra¸c˜ao e concavidade de 8,00 m de raio voltada para baixo. Com a lente iluminada perpendicularmente de cima por uma luz de comprimento de onda 589 nm (no ar), aparece um padr˜ao de interferˆencia com um ponto escuro central circundado por an´eis, dos quais 50 s˜ao escuros, inclusive o mais externo na borda da lente. Este padr˜ao de interferˆencia aparece devido ao ﬁlme de ar entre a lente e a placa de vidro (como esquematizado na ﬁgura). A espessura da camada de ar no centro do padr˜ao de interferˆencia e a distˆancia focal da lente s˜ao, respectivamente,	A: 14,7 µm e −10,0 m. || B: 14,7 µm e −16,0 m. || C: 238 µm e −8,00 m. || D: 35,2 µm e 16,0 m. || E: 29,4 µm e −16,0 m
ITA-MC-2014-SP-FIS-Q005	2014	single_phase	fisica	5	Um capacitor de placas planas paralelas de ´area A, separadas entre si por uma distˆancia inicial r0 muito menor que as dimens˜oes dessa ´area, tem sua placa inferior ﬁxada numa base isolante e a superior suspensa por uma mola (ﬁgura (1)). Dispondo-se uma massa m sobre a placa superior, resultam pequenas oscila¸c˜oes de per´ıodo T do conjunto placa superior + massa m. Variando-se m, obt´em-se um gr´aﬁco de T 2 versus m, do qual, ap´os ajuste linear, se extrai o coeﬁciente angular α. A seguir, ap´os remover a massa m da placa superior e colocando entre as placas um meio diel´etrico sem resistˆencia ao movimento, aplica-se entre elas uma diferen¸ca de potencial V e monitora-se a separa¸c˜ao r de equil´ıbrio (ﬁguras (2) e (3)). Nestas condi¸c˜oes, a permissividade ε do meio entre as placas ´e V Vm	A: 32π2r3 0/(27αAV 2 m). || B: 16π2r3 0/(27αAV 2 m). || C: 8π2r3 0/(27αAV 2 m). r0 V = 0 r ε V̸ = 0 || D: 4π2r3 0/(αAV 2 m). r r0 2r0/3 || E: 16π2r3/(27αAV 2). Fig. (2) Fig. (1) Fig. (3)
ITA-MC-2014-SP-FIS-Q006	2014	single_phase	fisica	6	A ﬁgura mostra um interferˆometro de Anteparo Michelson adaptado para determinar o ´ındice de re- fra¸c˜ao do ar. As caracter´ısticas do padr˜ao de inter- Espelho 1 ferˆencia dos dois feixes incidentes no anteparo depen- Divisor C´apsula dem da diferen¸ca de fase entre eles, neste caso, in- de Feixe ﬂuenciada pela c´apsula contendo ar. Reduzindo a Laser press˜ao na c´apsula de 1 atm at´e zero (v´acuo), nota- se que a ordem das franjas de interferˆencias sofre um deslocamento de N, ou seja, a franja de ordem 0 passa d a ocupar o lugar da de ordem N, a franja de ordem 1 ocupa o lugar da de ordem N + 1, e assim suces- Espelho 2 sivamente. Sendo d a espessura da c´apsula e λ o comprimento de onda da luz no v´acuo, o ´ındice de refra¸c˜ao do ar ´e igual a	A: Nλ/d. || B: Nλ/(2d). || C: 1 + Nλ/d. || D: 1 + Nλ/(2d). || E: 1 −Nλ/d
ITA-MC-2014-SP-FIS-Q007	2014	single_phase	fisica	7	´E muito comum a ocorrˆencia de impurezas em cristais semicondutores. Em primeira apro- xima¸c˜ao, a energia de ioniza¸c˜ao dessas impurezas pode ser calculada num modelo semelhante ao do ´atomo de hidrogˆenio. Considere um semicondutor com uma impureza de carga +e atraindo um el´etron de carga −e. Devido a intera¸c˜oes com os ´atomos da rede cristalina, o el´etron, no semicondutor, possui uma massa igual a mrm0, em que m0 ´e a massa de repouso do el´etron e mr, uma constante adimensional. O conjunto impureza/el´etron est´a imerso no meio semicondutor de permissividade relativa εr. A raz˜ao entre a energia de ioniza¸c˜ao desta impureza e a energia de ioniza¸c˜ao do ´atomo de hidrogˆenio ´e igual a	A: 1. r. r/mr. || B: mr/ε2 || C: ε2 || D: mr/εr. || E: εr/mr
ITA-MC-2014-SP-FIS-Q008	2014	single_phase	fisica	8	Considere um capacitor de placas paralelas ao plano yz tendo um campo el´etrico de in- tensidade E entre elas, medido por um referencial S em repouso em rela¸c˜ao ao capacitor. Dois outros referenciais, S′ e S′′, que se movem com velocidade de m´odulo v constante em rela¸c˜ao a S nas dire¸c˜oes de x e y, nesta ordem, medem as respectivas intensidades E′ e E′′ dos campos el´etricos entre as placas do 1 −(v/c)2, pode-se dizer que E′/E e E′′/E s˜ao, respectivamente, iguais a p capacitor. Sendo γ = 1/	A: 1 e 1. || B: γ e 1. || C: 1 e γ. || D: γ e 1/γ. || E: 1 e 1/γ
ITA-MC-2014-SP-FIS-Q009	2014	single_phase	fisica	9	Considere as aﬁrma¸c˜oes a seguir: I. Em equil´ıbrio eletrost´atico, uma superf´ıcie met´alica ´e equipotencial. II. Um objeto eletrostaticamente carregado induz uma carga uniformemente distribu´ıda numa superf´ıcie met´alica pr´oxima quando em equil´ıbrio eletrost´atico. III. Uma carga negativa desloca-se da regi˜ao de maior para a de menor potencial el´etrico. IV. ´E nulo o trabalho para se deslocar uma carga teste do inﬁnito at´e o ponto m´edio entre duas cargas pontuais de mesmo m´odulo e sinais opostos. Destas aﬁrma¸c˜oes, ´e (s˜ao) correta(s) somente	A: lTell || B: LHell. || C: LHelV. || D: Ielv. || E: HI
ITA-MC-2014-SP-FIS-Q010	2014	single_phase	fisica	10	Um recipiente contém um gás monoatômico ideal inici- Pressão almente no estado L, com pressão p e volume V. O gás é submetido N a uma transformação cíclica LMNL, absorvendo de uma fonte quente 4pfp=====—> uma quantidade de calor Q, e cedendo a uma fonte fria uma quantidade de calor Q». Pode-se afirmar que Q é igual a L	A: 30pV. Pe - M || B: 51pV/2. || C: 8pV. | ! Volume || D: 15pV/2. || E: 9pV/2. V 4V
