question_id	year	exam_phase	subject	question_number	question_text	alternatives
ITA-MC-2009-SP-FIS-Q001	2009	single_phase	fisica	1	Sabe-se que o momento angular de uma massa pontual ´e dado pelo produto vetorial do vetor posi¸c˜ao dessa massa pelo seu momento linear. Ent˜ao, em termos das dimens˜oes de comprimento (L), de massa (M), e de tempo (T), um momento angular qualquer tem sua dimens˜ao dada por L0MT −1.	A: LM0T −1. || B: LMT −1. || C: L2MT −1. || D: L2MT −2. || E: 
ITA-MC-2009-SP-FIS-Q002	2009	single_phase	fisica	2	Uma part´ıcula carregada negativamente est´a se movendo na dire¸c˜ao +x quando entra em um campo el´etrico uniforme atuando nessa mesma dire¸c˜ao e sentido. Considerando que sua posi¸c˜ao em t = 0 s ´e x = 0 m, qual gr´aﬁco representa melhor a posi¸c˜ao da part´ıcula como fun¸c˜ao do tempo durante o primeiro segundo?	A: 0.3 0.3 0.3 0.2 0.2 0.2 0.1 0.1 0.1 0 0 0 x x x -0.1 -0.1 -0.1 -0.2 -0.2 -0.2 -0.3 -0.3 -0.3 0 0.2 0.4 0.6 0.8 1 0 0.2 0.4 0.6 0.8 1 0 0.2 0.4 0.6 0.8 1 t t t || B:  || C:  || D:  || E: 0.3 0.3 0.2 0.2 0.1 0.1 0 0 x x -0.1 -0.1 -0.2 -0.2 -0.3 -0.3 0 0.2 0.4 0.6 0.8 1 0 0.2 0.4 0.6 0.8 1 t t
ITA-MC-2009-SP-FIS-Q003	2009	single_phase	fisica	3	Um barco leva 10 horas para subir e 4 horas para descer um mesmo trecho do rio Amazonas, mantendo constante o m´odulo de sua velocidade em rela¸c˜ao `a ´agua. Quanto tempo o barco leva para descer esse trecho com os motores desligados?	A: 14 horas e 30 minutos || B: 13 horas e 20 minutos || C: 7 horas e 20 minutos || D: 10 horas || E: N˜ao ´e poss´ıvel resolver porque n˜ao foi dada a distˆancia percorrida pelo barco
ITA-MC-2009-SP-FIS-Q004	2009	single_phase	fisica	4	Na ﬁgura, um ciclista percorre o trecho AB com velocidade escalar m´edia de 22,5 km/h e, em seguida, o trecho BC de 3,00 km de extens˜ao. No retorno, ao passar em B, veriﬁca ser de 20,0 km/h sua velocidade escalar m´edia no percurso ent˜ao percorrido, ABCB. Finalmente, ele chega em A perfazendo todo o percurso de ida e volta em 1,00 h, com velocidade escalar m´edia de 24,0 km/h. Assinale o m´odulo v do vetor velocidade m´edia referente ao percurso ABCB. C	A: v = 12, 0 km/h 3,00 km || B: v = 12, 00 km/h || C: v = 20, 0 km/h A B || D: v = 20, 00 km/h || E: v = 36, 0 km/h √
ITA-MC-2009-SP-FIS-Q005	2009	single_phase	fisica	5	A partir do repouso, um carrinho de montanha russa desliza de uma altura H = 20 3 m sobre uma rampa de 60o de inclina¸c˜ao e corre 20 m num trecho horizontal antes de chegar em um loop circular, de pista sem atrito. Sabendo que o coeﬁciente de atrito da rampa e do plano horizontal ´e 1/2, assinale o valor do raio m´aximo que pode ter esse loop para que o carrinho fa¸ca todo o percurso sem perder o contato com a sua pista. √ 3 m	A: R = 8 √ 3 −1) m || B: R = 4( H √ 2R || C: R = 8( 3 −1) m √ 3 −1) m || D: R = 4(2 600 √ || E: R = 40( 3 −1)/3 m 20 m
ITA-MC-2009-SP-FIS-Q006	2009	single_phase	fisica	6	Desde os idos de 1930, observa¸c˜oes astronˆomicas indicam a existˆencia da chamada mat´eria escura. Tal mat´eria n˜ao emite luz, mas a sua presen¸ca ´e inferida pela inﬂuˆencia gravitacional que ela exerce sobre o movimento de estrelas no interior de gal´axias. Suponha que, numa gal´axia, possa ser removida sua mat´eria escura de massa espec´ıﬁca ρ > 0, que se encontra uniformemente distribu´ıda. Suponha tamb´em que no centro dessa gal´axia haja um buraco negro de massa M, em volta do qual uma estrela de massa m descreve uma ´orbita circular. Considerando ´orbitas de mesmo raio na presen¸ca e na ausˆencia de mat´eria escura, a respeito da for¸ca gravitacional resultante⃗F exercida sobre a estrela e seu efeito sobre o movimento desta, pode-se aﬁrmar que	A: F ´e atrativa e a velocidade orbital de m n˜ao se altera na presen¸ca da mat´eria escura. || B: F ´e atrativa e a velocidade orbital de m ´e menor na presen¸ca da mat´eria escura. || C: F ´e atrativa e a velocidade orbital de m ´e maior na presen¸ca da mat´eria escura. || D: F ´e repulsiva e a velocidade orbital de m ´e maior na presen¸ca da mat´eria escura. || E: F ´e repulsiva e a velocidade orbital de m ´e menor na presen¸ca da mat´eria escura
ITA-MC-2009-SP-FIS-Q007	2009	single_phase	fisica	7	"Diagramas causais servem para representar rela¸c˜oes qualitativas de causa e efeito entre duas + !""#r !""#s para indicar que o grandezas de um sistema. Na sua constru¸c˜ao, utilizamos ﬁguras como '&%$ '&%$ − !""#r !""#s para indicar que o aumento da aumento da grandeza r implica aumento da grandeza s e '&%$ '&%$ grandeza r implica diminui¸c˜ao da grandeza s. Sendo a a acelera¸c˜ao, v a velocidade e x a posi¸c˜ao, qual dos diagramas abaixo melhor representa o modelamento do oscilador harmˆonico? ` _ /'&%$ _ /'&%$ _ /'&%$ _ /'&%$ ` !""#v !""#x !""#x !""#v !""#x !""#x !""#a !""#v !""#a !""#v"	"A: '&%$ '&%$ '&%$ '&%$ '&%$ '&%$ _ _ /'&%$ _ /'&%$ _ /'&%$ _ /'&%$ _ !""#a !""#v !""#a !""#v !""#v !""#x !""#x !""#v !""#x !""#x || B:  || C:  || D: '&%$ '&%$ '&%$ '&%$ '&%$ '&%$ _ /'&%$ _ / _ !""#v !""#v !""#x !""#a !""#v || E: '&%$ '&%$ '&%$ '&%$"
ITA-MC-2009-SP-FIS-Q008	2009	single_phase	fisica	8	Uma balsa tem o formato de um prisma reto de comprimento L e se¸c˜ao transversal como vista na ﬁgura. Quando sem carga, ela submerge parcialmente at´e a uma profundidade h0. Sendo ρ a massa espec´ıﬁca da ´agua e g a acelera¸c˜ao da gravidade, e supondo seja mantido o equil´ıbrio hidrost´atico, assinale a carga P que a balsa suporta quando submersa a uma profundidade h1. P = ρgL(h2 1 −h2	A: 0)senθ P = ρgL(h2 1 −h2 || B: 0) tan θ P = ρgL(h2 1 −h2 || C: 0)senθ/2 h1 h0 θ P = ρgL(h2 1 −h2 || D: 0) tan θ/2 1 −h2 P = ρgL(h2 0)2 tan θ/2 || E: 
ITA-MC-2009-SP-FIS-Q009	2009	single_phase	fisica	9	Considere hipoteticamente duas bolas lan¸cadas de um mesmo lugar ao mesmo tempo: a bola 1, com velocidade para cima de 30 m/s, e a bola 2, com velocidade de 50 m/s formando um ˆangulo de 30o com a horizontal. Considerando g = 10 m/s2, assinale a distˆancia entre as bolas no instante em que a primeira alcan¸ca sua m´axima altura. √ 6250 m	A: d = √ || B: d = 7217 m √ || C: d = 17100 m √ || D: d = 19375 m √ || E: d = 26875 m
ITA-MC-2009-SP-FIS-Q010	2009	single_phase	fisica	10	Considere uma bola de basquete de 600 g a 5 m de altura e, logo acima dela, uma de tˆenis de 60 g. A seguir, num dado instante, ambas as bolas s˜ao deixadas cair. Supondo choques perfeitamente el´asticos e ausˆencia de eventuais resistˆencias, e considerando g = 10 m/s2, assinale o valor que mais se aproxima da altura m´axima alcan¸cada pela bola de tˆenis em sua ascen¸c˜ao ap´os o choque.	A: 5 m || B: 10 m || C: 15 m || D: 25 m || E: 35 m
