question_id	year	exam_phase	subject	question_number	needs_review	has_image	context
ITA-MC-2023-P1-FIS-Q001	2023	phase_1	fisica	1	False	True	Uma part´ıcula ´e lan¸cada horizontalmente de uma determinada al- v tura em rela¸c˜ao ao solo em duas situa¸c˜oes: uma em v´acuo e outra em ar at- mosf´erico es [...] de maneira correta o lan¸camento em ar atmosf´erico apenas a(s) curva(s) | ALT A:II. || B:II, III e IV. || C:II e III. || D:II e IV || E:I e III. x
ITA-MC-2023-P1-FIS-Q002	2023	phase_1	fisica	2	False	True	Um disco de raio R com centro em O pode girar livremente em um plano horizontal sem atrito em torno de um eixo ﬁxo que passa por O. Uma mola de comprimento natu [...] cont´em a soma dos n´umeros correspondentes `as aﬁrma¸c˜oes verdadeiras. | ALT A:2. || B:3. || C:5. || D:8. || E:10. 2
ITA-MC-2023-P1-FIS-Q003	2023	phase_1	fisica	3	False	True	Considere um recipiente, sobre uma plataforma, sujeito à pressão atmosférica Pj. Esse recipiente contém um volume inicial V; Dinamômetro de um gás monoatômico i [...] do do recipiente, considerando que a transformação do gás é isentrópica. | ALT A:Av= 3h (ris) || B:Ao ty (fato) |, || C:Ar= (ris) || D:Ar=% (anton): 5 3 || E:pa gh (gica)
ITA-MC-2023-P1-FIS-Q004	2023	phase_1	fisica	4	False	True	Um corpo de massa m é lançado em um plano horizontal sem atrito, sob ação da gravidade g, e, ao entrar em um tubo, executa uma trajetória circular de raio R. A  [...] ssinale a alternativa que expressa H em função das variáveis fornecidas. | ALT A:d (hn 4R + EE), || B:(an 5R+ FR). || C:}(n—5R+ £2), || D:é (2h 3R+ FR), || E:}(n-2R+ E),
ITA-MC-2023-P1-FIS-Q005	2023	phase_1	fisica	5	False	True	Considere um recipiente tubular fino, com área transversal constante, que contém dois líquidos imissíveis A e B. o As hastes verticais deste recipiente distam 2 [...] o, a distância per- corrida pelo recipiente após um intervalo de 3,0 s é | ALT A:24m. || B:46m. || C:90m. || D:13x10m. || E:1,8x 10m. 3
ITA-MC-2023-P1-FIS-Q006	2023	phase_1	fisica	6	False	False	Considere uma m´aquina t´ermica que opera com um ciclo termodinˆamico composto de quatro etapas: (i) expans˜ao isot´ermica, `a temperatura Tq, saindo do volume  [...] a ´e superior a 50%. Sobre as aﬁrma¸c˜oes I, II e III pode-se aﬁrmar que | ALT A:todas est˜ao corretas. || B:apenas I est´a incorreta. || C:apenas II est´a incorreta. || D:ape
ITA-MC-2023-P1-FIS-Q007	2023	phase_1	fisica	7	False	False	Em eventos esportivos, ´e comum que os espectadores realizem a coreograﬁa da “ola”. Os participantes erguem seus bra¸cos e os abaixam logo em seguida, em ﬁleira [...] te proporcional a D. Sobre as aﬁrma¸c˜oes I, II e III pode-se aﬁrmar que | ALT A:apenas I e II est˜ao corretas. || B:apenas I est´a correta. || C:apenas II est´a correta. || D
ITA-MC-2023-P1-FIS-Q008	2023	phase_1	fisica	8	True	True	Considere um ﬁltro polarizador linear no plano S, cuja polariza¸c˜ao ´e paralela ao eixo x. Uma onda eletro- Chapa fotográﬁca magn´etica com polariza¸c˜ao linea [...] ernativa que melhor representa o que vai ser visto na chapa fotogr´aﬁca. | ALT A: || B: || C: || D: || E:
ITA-MC-2023-P1-FIS-Q009	2023	phase_1	fisica	9	False	True	Em v´arios ramos da ciˆencia e da engenharia, sistemas de interesse s˜ao modelados por circuitos el´etricos a eles equivalentes. Na biologia, por exemplo, a mem [...] pode ser representado pelos seguintes elementos de circuitos el´etricos: | ALT A:resistores e fontes de corrente conectados em s´erie. || B:fontes de corrente e capacitores co
ITA-MC-2023-P1-FIS-Q010	2023	phase_1	fisica	10	False	False	Considere um sistema de coordenadas x, y, z com respectivos vetores de base , sendo z a coordenada vertical. Uma part´ıcula de massa m e carga el´etrica de m´od [...] ergia cin´etica da part´ıcula ´e igual a m3g2 m3g2 2m3g2 m3g2 m3g2 2 1 1 | ALT A:q2B2 . || B:q2B2 . || C:q2B2 . || D:q2B2 . || E:q2B2 . 3 4 2 5
ITA-MC-2023-P1-FIS-Q011	2023	phase_1	fisica	11	False	True	Considere um arranjo experimental, representado na ﬁgura, em que um ´ım˜a pode se movimentar ao longo das B' retas AB ou A′B′, sempre com velocidade constante ( [...]  passa por AB. Das aﬁrma¸c˜oes I a IV, acima destacadas, est˜ao corretas | ALT A:apenas I, III. || B:apenas II, III. || C:todas. || D:apenas III || E:apenas I.
ITA-MC-2023-P1-FIS-Q012	2023	phase_1	fisica	12	False	False	A todo instante, raios c´osmicos atingem a atmosfera terrestre e colidem com n´ucleos atˆomicos. Dessas intera¸c˜oes, ´e formada uma cascata de part´ıculas que  [...] s, a m´ınima altitude que essa part´ıcula atinge, aproximadamente, ´e de | ALT A:0 km. || B:0,66 km. || C:46 km. || D:53 km. || E:99 km. 6 PORTUGUÊS
ITA-MC-2023-P1-ING-Q025	2023	phase_1	ingles	25	False	True	De acordo com o texto, é correto afirmar que | ALT A:ao ser reconhecido, os benefícios de um Estado são numerosos e tidos como certos. || B:ao ser 
ITA-MC-2023-P1-ING-Q026	2023	phase_1	ingles	26	False	True	A respeito das populações de Estados não reconhecidos, não é correto afirmar que | ALT A:suas nacionalidades de facto não são internacionalmente reconhecidas. || B:só podem viajar se 
ITA-MC-2023-P1-ING-Q027	2023	phase_1	ingles	27	False	True	O termo “Although”, destacado em itálico sublinhado no excerto do segundo parágrafo: “Although different, these peoples seem to have one common goal”, expressa ideia de | ALT A:dessemelhança. || B:alternância. || C:similaridade. || D:contraste || E:decorrência.
ITA-MC-2023-P1-ING-Q028	2023	phase_1	ingles	28	False	True	O termo “whereas”, destacado em itálico sublinhado no excerto do segundo parágrafo: “whereas others are distinct peoples”, pode ser substituído, sem prejuízo de sentido, por | ALT A:meanwhile. || B:while. || C:wheresoever. || D:thereby || E:henceforth.
ITA-MC-2023-P1-ING-Q029	2023	phase_1	ingles	29	False	True	O termo “allegiance”, destacado em itálico sublinhado no excerto do terceiro parágrafo: “in exchange for their allegiance”, pode ser substituído, sem alteração de sentido, por | ALT A:allegation. || B:loyalty. || C:alienation. || D:unfaithfulness || E:animosity.
ITA-MC-2023-P1-ING-Q030	2023	phase_1	ingles	30	False	True	O termo “do”, destacado em itálico sublinhado no excerto do quarto parágrafo: “the few countries that do recognise them”, expressa | ALT A:dúvida. || B:equivalência. || C:detalhamento. || D:exemplificação. Leia atentamente o texto a 
ITA-MC-2023-P1-ING-Q031	2023	phase_1	ingles	31	False	False	De acordo com o texto, dentre as obras recomendadas sobre a América Latina, assinale a alternativa que apresenta os títulos cujos enredos ocorreram no século XX. | ALT A:Beef, Bible and Bullets e Conquistadores. || B:Conquistadores e News of a Kidnapping. || C:Bee
ITA-MC-2023-P1-ING-Q032	2023	phase_1	ingles	32	False	False	According to the text, Fernando Cervantes, the author of Conquistadores, | ALT A:recreated the novel in the form of diaries and letters from the invaders. || B:tells that reli
ITA-MC-2023-P1-ING-Q033	2023	phase_1	ingles	33	False	False	In the excerpt from the text “the dictatorship of Rafael Leónidas Trujillo, the self-styled Generalissimo who ruled the Dominican Republic”, the underlined expression means that he | ALT A:was not proud of his military attire. || B:gave himself the specific title. || C:managed to be
