question_id	year	exam_phase	subject	question_number	needs_review	has_image	context
ITA-MC-2017-SP-FIS-Q001	2017	single_phase	fisica	1	False	False	Ondas gravitacionais foram previstas por Einstein em 1916 e diretamente detectadas pela primeira vez em 2015. Sob determinadas condições, um sistema girando com [...] uz e Q, uma grandeza que tem unidade em kg.m2. Assinale a opção correta. | ALT A:β = −5, γ = 2, e δ = 6 || B:β = −3/5, γ = 4/3, e δ = 4 || C:β = −10/3, γ = 5/3, e δ = 5 || D:β
ITA-MC-2017-SP-FIS-Q002	2017	single_phase	fisica	2	False	True	Um bastão rígido e uniforme, de comprimento L, toca os pinos P e Q ﬁxados numa parede vertical, interdistantes de a, conforme a ﬁgura. O coeﬁciente de atrito en [...] ale a condição em que se torna possível o equilíbrio estático do bastão. | ALT A:L ≥a(1 + tan α/µ) L || B:L ≥a(−1 + tan α/µ) || C:L ≥a(1 + tan α/2µ) a b Q || D:L ≥a(−1 + tan α
ITA-MC-2017-SP-FIS-Q003	2017	single_phase	fisica	3	False	True	Na ﬁgura, o vagão move-se a partir do repouso sob a ação de uma aceleração a constante. Em decorrência, desliza para trás o pequeno bloco apoiado em seu piso de [...] dade do bloco, em relação a um referencial externo, será igual a √ L/√ L | ALT A:g a −µg √ L/√ || B:g a + µg a √ L/√ || C:µg a −µg √ 2L/√ || D:µg a −µg ///////////////////////
ITA-MC-2017-SP-FIS-Q004	2017	single_phase	fisica	4	False	False	eletricidade, de 10 cm de raio e 3,3 ×10−6 cm de espessura. Sendo a capacitância de uma esfera condutora no ar proporcional ao seu raio, assinale o potencial elétrico da gota esférica formada após a bolha estourar. | ALT A:6 kV || B:7 kV || C:8 kV || D:9 kV || E:10 kV
ITA-MC-2017-SP-FIS-Q005	2017	single_phase	fisica	5	False	False	Considere um automóvel com tração dianteira movendo-se aceleradamente para a frente. As rodas dianteiras e traseiras sofrem forças de atrito respectivamente para: | ALT A:frente e frente. || B:frente e trás. || C:trás e frente. || D:trás e trás || E:frente e não so
ITA-MC-2017-SP-FIS-Q006	2017	single_phase	fisica	6	False	True	Na ﬁgura, um tubo ﬁno e muito leve, de área de seção reta S e comprimento a, encontra-se inicialmente cheio de água de massa M e massa especíﬁca ρ. Graças a uma [...] o da variação temporal do período do pêndulo. √ L/√ //////////////////// | ALT A:2π g ρLS −rt/√ || B:2π√ ρSg ρLS + rt/√ || C:2π√ L ρSg || D:2π√ 2ρLS −rt/√ a 2ρSg b || E:2π√ 2ρ
ITA-MC-2017-SP-FIS-Q007	2017	single_phase	fisica	7	False	True	Na ﬁgura, a extremidade de uma haste delgada livre, de massa m uniformemente distribuída, apoia-se sem atrito sobre a massa M do pêndulo simples. Considerando o [...] ra que o conjunto permaneça em equilíbrio estático. //////////////////// | ALT A:tan φ/2 tanθ || B:(1 −tanφ)/4senθ cos φ θ || C:(sen2φ cot θ −2sen2θ)/4 M b || D:(senφ cot θ −2
ITA-MC-2017-SP-FIS-Q008	2017	single_phase	fisica	8	False	True	Em um experimento no vácuo, um pulso intenso de laser incide na superfície de um alvo sólido, gerando uma nuvem de cargas positivas, elétrons e átomos neutros.  [...]  -0.15 Tempo [µs] -0.20 //////////////////// Esta(ão) correta(as) apenas | ALT A:I. || B:II. || C:III || D:I e II. || E:II e III.
ITA-MC-2017-SP-FIS-Q009	2017	single_phase	fisica	9	False	False	Uma placa é feita de um metal cuja função trabalho W é menor que hν, sendo ν uma frequência no intervalo do espectro eletromagnético visível e h a constante de  [...] étrons da placa metálica nesta situação é correto aﬁrmar que os elétrons | ALT A:não são ejetados instantaneamente, já que precisam de um tempo mínimo para acúmulo de energia.
ITA-MC-2017-SP-FIS-Q010	2017	single_phase	fisica	10	False	False	A ﬁgura mostra dois anteparos opacos à radiação, sendo um com fenda de tamanho variável d, com centro na posição x = 0, e o outro com dois fotodetectores de int [...] ativas possíveis para a detecção da radiação em ambos os experimentos. x | ALT A:I, II e IV F2 || B:I, IV e V L λ || C:II, IV e V F1 d || D:III, V e VI || E:I, IV e VI
