question_id	year	exam_phase	subject	question_number	needs_review	has_image	context
ITA-MC-2019-P1-FIS-Q001	2019	phase_1	fisica	1	False	False	Em f´erias no litoral, um estudante faz para um colega as seguintes observa¸c˜oes: I. A luz solar consiste de uma onda eletromagn´etica transversal, n˜ao polari [...]  da ´agua do mar. A respeito dessas observa¸c˜oes, ´e correto aﬁrmar que | ALT A:todas s˜ao verdadeiras. || B:apenas I ´e falsa. || C:apenas II ´e falsa. || D:apenas III ´e fa
ITA-MC-2019-P1-FIS-Q002	2019	phase_1	fisica	2	False	True	Considere duas part´ıculas de massa m, cada qual presa numa das pontas de uma corda, de comprimento l e massa desprez´ıvel, que atravessa um orif´ıcio de uma me [...] o trecho suspenso da corda com a vertical, a raz˜ao (!2/!1)2 ´e dada por | ALT A:r[mg + k(l −r) cos ✓] || B:(l −r)(mg + kr cos ✓) θ (l −r)k cos ✓ . || C:(l −r)(mg + kr tg ✓) .
ITA-MC-2019-P1-FIS-Q003	2019	phase_1	fisica	3	False	False	Considere um corpo celeste esf´erico e homogˆeneo de massa M e raio R atravessado de polo a polo por um t´unel cil´ındrico retil´ıneo de diˆametro desprez´ıvel. [...] ro polo ap´os o intervalo de tempo dado por ✓R3 ◆1/2 ✓4R3 ◆1/2 ✓4R3 ◆1/2 | ALT A:. || B:⇡ . || C:. || D:2⇡ . GM GM || E:2⇡ . GM 3GM 3GM ✓R3 ◆1/2 ✓R3 ◆1/2
ITA-MC-2019-P1-FIS-Q004	2019	phase_1	fisica	4	False	False	A imagem de um objeto formada por um espelho cˆoncavo mede metade do tamanho do objeto. Se este ´e deslocado de uma distˆancia de 15 cm em dire¸c˜ao ao espelho, [...] e a distˆancia focal do espelho e assinale a alternativa correspondente. | ALT A:40 cm || B:30 cm || C:20 cm || D:10 cm || E:5,0 cm
ITA-MC-2019-P1-FIS-Q005	2019	phase_1	fisica	5	False	False	Uma bateria composta por 50 c´elulas voltaicas em s´erie ´e carregada por uma fonte de corrente cont´ınua ideal de 220 V. Cada c´elula tem uma for¸ca eletromotr [...] valor da resistˆencia extra que deve ser inserida em s´erie com a fonte. | ALT A:23,0 ⌦ || B:36,6 ⌦ || C:12,5 ⌦ || D:5,00 ⌦ || E:19,2 ⌦ 2
ITA-MC-2019-P1-FIS-Q006	2019	phase_1	fisica	6	False	True	Uma barra r´ıgida, homogˆenea, ﬁna e de comprimento l, ´e presa a uma corda horizontal sem massa e toca a quina de uma superf´ıcie horizontal livre de atrito, f [...]  em que d ´e a distˆancia da quina ao centro de gravidade (CG) da barra. | ALT A:tg2✓ || B:cos2✓ || C:sen2✓ || D:cos2✓ d 4 2 || E:sen2✓ 2 4 2 l θ CG
ITA-MC-2019-P1-FIS-Q007	2019	phase_1	fisica	7	False	True	Uma bola ´e deixada cair conforme mostra a ﬁgura. Inicialmente, ela gira com velocidade angular ! no sentido anti-hor´ario para quem a observa do leste, sendo n [...] bola, mais ela se afastar´a do ponto C. Est´a(˜ao) correta(s) apenas ω N | ALT A:I. || B:II e IV. || C:III e IV. || D:III. C L O S || E:II.
ITA-MC-2019-P1-FIS-Q008	2019	phase_1	fisica	8	False	True	Em um reservat´orio s˜ao armazenados 1 mol de g´as h´elio e 1 mol de g´as oxigˆenio em equil´ıbrio t´ermico. Por meio de um orif´ıcio de dimens˜oes muito menore [...] ´orio tˆem a mesma fra¸c˜ao molar de h´elio. Assinale a op¸c˜ao correta. | ALT A:Apenas a aﬁrma¸c˜ao I ´e falsa. || B:Apenas a aﬁrma¸c˜ao II ´e falsa. || C:Apenas a aﬁrma¸c˜ao
ITA-MC-2019-P1-FIS-Q009	2019	phase_1	fisica	9	False	True	Na figura mostra-se o valor do potencial elétrico para diferentes pontos P(50 V), Q(60 V), R(130 V) e $(120 V) situados no plano xy. Considere o campo elétrico  [...] l a 5,0 m. Pode-se afirmar que a magnitude do campo elétrico é igual a y | ALT A:120V/m. 60 V || B:80V/m. || C:60V/m. || D:10,0 V/m. R P : 120 V Ss || E:16,0 V/m. Q , , 130V |
ITA-MC-2019-P1-FIS-Q010	2019	phase_1	fisica	10	True	True	Seja uma partícula de massa m e carga positiva q, imersa em um campo magnético uniforme B, com velocidade inicial v no instante de tempo t = 0. Sabe-se que O é  [...] dquira a mesma direção e sentido iniciais é dada por Org On On () O ante | ALT A:my mu mu mv mv a—cos?. || B:2n— cos0. || C:2x— sen0. || D:T—. || E:27 —
