question_id	year	exam_phase	subject	question_number	needs_review	has_image	context
ITA-MC-2018-SP-FIS-Q001	2018	single_phase	fisica	1	False	False	Considere uma estrela de neutrons com densidade m´edia de 5 × 1014 g/cm3, sendo que sua frequˆencia de vibra¸c˜ao radial ν ´e fun¸c˜ao do seu raio R, de sua mas [...] orcionalidade vale aproximadamente 1. Ent˜ao o valor de ν ´e da ordem de | ALT A:10−2 Hz. || B:10−1 Hz. || C:100 Hz. || D:102 Hz || E:104 Hz.
ITA-MC-2018-SP-FIS-Q002	2018	single_phase	fisica	2	False	True	Numa quadra de volei de 18 m de comprimento, com rede de 2,24 m de altura, uma atleta solit´aria faz um saque com a bola bem em cima da linha de fundo, a 3,0 m  [...]  o atrito, pode-se dizer que, com 12 m/s de velocidade inicial, a bola θ | ALT A:bate na rede. || B:passa tangenciando a rede. || C:passa a rede e cai antes da linha de fundo.
ITA-MC-2018-SP-FIS-Q003	2018	single_phase	fisica	3	False	True	Sobre uma prancha horizontal de massa desprez´ıvel e apoiada no centro, dois discos, de massas mA e mB, respectivamente, rolam com as respectivas velocidades vA [...] quil´ıbrio antes que os discos colidam, a raz˜ao vA/vB ´e dada por LA LB | ALT A:1. || B:mA/mB. mA mB || C:mB/mA. || D:LAmA/LBmB. || E:LBmB/LAmA. ////////////////////
ITA-MC-2018-SP-FIS-Q004	2018	single_phase	fisica	4	True	True	Uma haste vertical de comprimento L, sem peso, ´e presa a uma articula¸c˜ao T e disp˜oe em sua extremidade de uma pequena massa m que, conforme a ﬁgura, toca le [...] orizontal. Desconsiderando atritos, assinale a velocidade ﬁnal do bloco. | ALT A:M+4m/3 M q q L M 2mgL mgL || B: || C: || D:M+4m M / / / / / / / / / / / / / / / / / / / T || E
ITA-MC-2018-SP-FIS-Q005	2018	single_phase	fisica	5	False	False	Em queixa `a pol´ıcia, um m´usico dep˜oe ter sido quase atropelado por um carro, tendo distinguido o som em Mi da buzina na aproxima¸c˜ao do carro e em R´e, no  [...] lui que a velocidade do carro, em km/h, deve ter sido aproximadamente de | ALT A:64. || B:71. || C:83. || D:102. || E:130
ITA-MC-2018-SP-FIS-Q006	2018	single_phase	fisica	6	False	True	Na ﬁgura, o tanque em forma de tronco de cone, com 10,0 cm de raio da base, cont´em ´agua at´e o n´ıvel de altura h = 500 cm, com 100 cm de raio da superf´ıcie  [...] escoar e, nesse instante, a press˜ao no n´ıvel a 15,0 cm de altura ´e de | ALT A:100 kPa. || B:102 kPa. h || C:129 kPa. || D:149 kPa. || E:150 kPa
ITA-MC-2018-SP-FIS-Q007	2018	single_phase	fisica	7	False	False	A partir de um mesmo ponto a uma certa altura do solo, uma part´ıcula ´e lan¸cada sequencial- mente em trˆes condi¸c˜oes diferentes, mas sempre com a mesma velo [...] spectivas velocidades ao atingir o solo, assinale a alternativa correta. | ALT A:t1 < t3 < t2; v1 > v3 > v2 || B:t1 < t2 = t3; v1 > v3 > v2 || C:t1 = t3 < t2; v1 = v3 > v2 || 
ITA-MC-2018-SP-FIS-Q008	2018	single_phase	fisica	8	False	True	Os pontos no gr´aﬁco indicam a velocidade instantˆanea, quilˆometro a quilˆometro, de um carro em movimento retil´ıneo. Por sua vez, o computador de bordo do ca [...]  bordo entre os quilˆometros 11 e 20 ´e km/h Velocidade instantˆanea 100 | ALT A:a tracejada que termina acima de 50 km/h. 90 80 70 || B:a cheia que termina acima de 50 km/h. 
ITA-MC-2018-SP-FIS-Q009	2018	single_phase	fisica	9	False	False	Uma massa m de carga q gira em ´orbita circular de raio R e per´ıodo T no plano equatorial de um ´ım˜a. Nesse plano, a uma distˆancia r do ´ım˜a, a intensidade  [...]  uma constante. Se fosse de 4R o raio dessa ´orbita, o per´ıodo seria de | ALT A:T/2. || B:2T. || C:8T. || D:32T. || E:64T
ITA-MC-2018-SP-FIS-Q010	2018	single_phase	fisica	10	False	True	Um tubo ﬁno de massa 1225g e raio r = 10,0 cm encontra-se inicialmente em repouso sobre um plano horizontal sem atrito. A partir do ponto mais alto, um corpo de [...] s baixa, o corpo ter´a uma velocidade relativa ao tubo, em cm/s, igual a | ALT A:-11,3. || B:-206. || C:11,3. r x || D:206. / / / / / / / / / / / / / / / / / / / / || E:194
ITA-MC-2018-SP-FIS-Q011	2018	single_phase	fisica	11	False	False	Num plano horizontal liso, presas cada qual a uma corda de massa desprez´ıvel, as massas m1 e m2 giram em ´orbitas circulares de mesma frequˆencia angular unifo [...] s das velocidades de m1 e m2 ap´os o choque, assinale a rela¸c˜ao m2/m1. | ALT A:1 || B:3/2 || C:4/3 || D:5/4 || E:7/5
ITA-MC-2018-SP-FIS-Q012	2018	single_phase	fisica	12	False	False	Considere quatro cargas ﬁxadas sobre o eixo x orientado para a direita. Duas delas, −q1 e +q1, separadas por uma distˆancia a1, formam o sistema 1 e as outras d [...] 1, a for¸ca exercida pelo sistema 1 sobre o sistema 2 ´e 1 q1q2 q1q2a1a2 | ALT A:r2 . . +q2 −q2 +q1 −q1 r4 4πǫ0 4πǫ0 x || B:−2 8 q1q2 q1q2a1a2 a1 a2 || C:−2 . r4 4πǫ0 || D:−6 
ITA-MC-2018-SP-FIS-Q013	2018	single_phase	fisica	13	False	False	Quatro corpos pontuais, cada qual de massa m, atraem-se mutuamente devido `a intera¸c˜ao gravitacional. Tais corpos encontram-se nos v´ertices de um quadrado de [...] o ´e dado por v v v √ √ √ ! ! ! u u u L3 L3 L3 4 − 2 4 + 2 4 + 2 u u u . | ALT A:2π t t t Gm 2 Gm 7 Gm 2 √ s v √ ! 2L3 u L3 || B:4π 4 − 2 u 3Gm . . || C:. || D:2π t 3 Gm 7 || 
ITA-MC-2018-SP-FIS-Q014	2018	single_phase	fisica	14	False	False	Dois espelhos esf´ericos interdistantes de 50 cm, um cˆoncavo, E1, e outro convexo, E2, s˜ao dispostos coaxialmente tendo a mesma distˆancia focal de 16 cm. Uma [...] ˜ao com as respectivas distˆancias, em cm, da vela aos espelhos E1 e E2. | ALT A:25 e 25 || B:41 e 9 || C:34 e 16 || D:35 e 15 || E:40 e 10
ITA-MC-2018-SP-FIS-Q015	2018	single_phase	fisica	15	False	True	Com um certo material, cujas camadas atˆomicas interdistam de uma distˆancia d, interage um feixe de radia¸c˜ao que ´e detectado em um ˆangulo θ conforme a ﬁgur [...] n¸cas que implicam a altera¸c˜ao simultˆanea dos ˆangulos α e β medidos. | ALT A:Aumenta-se a intensidade do feixe de raio X e diminui-se a velocidade dos el´etrons. || B:Aume
ITA-MC-2018-SP-FIS-Q016	2018	single_phase	fisica	16	False	True	Trˆes molas idˆenticas, de massas desprez´ıveis e comprimentos naturais ℓ, s˜ao dispostas verticalmente entre o solo e o teto a 3ℓde altura. Conforme a ﬁgura, e [...] , alcan¸cando-se nova posi¸c˜ao de equil´ıbrio. Assinale a raz˜ao d2/d1. | ALT A:2 || B:3/2 3ℓ || C:5/3 || D:4/3 / / / / / / / / / / / / / / / || E:5/4
ITA-MC-2018-SP-FIS-Q017	2018	single_phase	fisica	17	False	False	No livro Teoria do Calor (1871), Maxwell, escreveu referindo-se a um recipiente cheio de ar: “... iniciando com uma temperatura uniforme, vamos supor que um rec [...] ao com ... ”. Assinale a op¸c˜ao que melhor completa o texto de Maxwell. | ALT A:a primeira lei da termodinˆamica. || B:a segunda lei da termodinˆamica. || C:a lei zero da ter
