question_id	topic	subtopic	concepts	skills	classification_confidence	needs_topic_review	taxonomy_version
ITA-MC-2024-P1-FIS-Q001	mecanica	trabalho_e_energia	energia_cinetica; incerteza_instrumental; unidades	analise_dimensional; calculo_numerico	0.90	false	1.0
ITA-MC-2024-P1-FIS-Q002	mecanica	cinematica	queda_livre; sombra; movimento_relativo	modelagem_fisica; interpretacao_de_figuras	0.95	false	1.0
ITA-MC-2024-P1-FIS-Q003	mecanica	impulso_e_momento	centro_de_massa; colisao; esfera_com_cavidade	modelagem_fisica; interpretacao_de_figuras	0.92	false	1.0
ITA-MC-2024-P1-FIS-Q004	mecanica	rotacao	rotacao_da_terra; latitude; lancamento_de_foguete	modelagem_fisica; calculo_numerico	0.95	false	1.0
ITA-MC-2024-P1-FIS-Q005	mecanica	gravitacao	leis_de_kepler; periodo_orbital; marte	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2024-P1-FIS-Q006	ondas	movimento_harmonico_simples	pendulo_simples; sincronismo; diferenca_de_periodos	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2024-P1-FIS-Q007	optica	lentes_e_espelhos	microscopio; lente_objetiva; aumento_linear	modelagem_fisica; interpretacao_de_figuras	0.99	false	1.0
ITA-MC-2024-P1-FIS-Q008	optica	interferencia	dupla_fenda; lamina_refringente; deslocamento_de_franjas	modelagem_fisica; interpretacao_de_figuras	0.99	false	1.0
ITA-MC-2024-P1-FIS-Q009	eletrostatica	carga_campo_potencial	metodo_das_imagens; casca_aterrada; potencial_eletrico	interpretacao_de_figuras; argumentacao_logica	0.95	false	1.0
ITA-MC-2024-P1-FIS-Q010	eletromagnetismo	forca_magnetica	proton; campo_magnetico; movimento_circular	modelagem_fisica; interpretacao_de_figuras	0.99	false	1.0
ITA-MC-2024-P1-FIS-Q011	eletromagnetismo	inducao_eletromagnetica	inducao_mutua; solenoide; bobina	modelagem_fisica; interpretacao_de_figuras	0.90	false	1.0
ITA-MC-2024-P1-FIS-Q012	fisica_moderna	relatividade	relatividade_da_simultaneidade; propagacao_de_sinais; foguete	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2024-P1-ING-Q025	reading_comprehension	main_idea	salvador; books; black_diaspora	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2024-P1-ING-Q026	reading_comprehension	detail	rufino; slavery; salvador	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2024-P1-ING-Q027	reading_comprehension	detail	books; protagonists; character_gender	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2024-P1-ING-Q028	grammar	syntax	negative_prefixes; word_formation; prefix	leitura_em_ingles; analise_linguistica	0.99	false	1.0
ITA-MC-2024-P1-ING-Q029	reference_and_cohesion	connectors	while; contrast; whereas	leitura_em_ingles; analise_linguistica	0.99	false	1.0
ITA-MC-2024-P1-ING-Q030	reading_comprehension	detail	book_comparison; sertao; factual_detail	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2024-P1-ING-Q031	reading_comprehension	main_idea	woolf_social_club; women; purpose	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2024-P1-ING-Q032	vocabulary	meaning_in_context	far; spatial_meaning; adjective	leitura_em_ingles; analise_linguistica	0.95	false	1.0
ITA-MC-2024-P1-ING-Q033	reading_comprehension	detail	virginia_woolf; kim_jina; inspiration	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2024-P1-ING-Q034	vocabulary	meaning_in_context	like_minded; similarity; contextual_meaning	leitura_em_ingles; analise_linguistica	0.99	false	1.0
