question_id	topic	subtopic	concepts	skills	classification_confidence	needs_topic_review	taxonomy_version
ITA-MC-2021-P1-FIS-Q001	fisica_moderna	quantica	unidades_atomicas; constante_de_estrutura_fina; velocidade_da_luz	analise_dimensional; modelagem_fisica	0.99	false	1.0
ITA-MC-2021-P1-FIS-Q002	mecanica	dinamica	forca_de_tracao; aceleracao; locomotiva	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2021-P1-FIS-Q003	mecanica	colisoes	colisao_com_parede; rotacao; lancamento	modelagem_fisica; interpretacao_de_figuras	0.85	false	1.0
ITA-MC-2021-P1-FIS-Q004	mecanica	gravitacao	tres_satelites; triangulo_equilatero; orbita	modelagem_fisica; interpretacao_de_figuras	0.99	false	1.0
ITA-MC-2021-P1-FIS-Q005	fluidos	hidrodinamica	teorema_de_torricelli; pistao; alcance_de_jato	modelagem_fisica; interpretacao_de_figuras	0.95	false	1.0
ITA-MC-2021-P1-FIS-Q006	termodinamica	gases	expansao_livre; gas_ideal; equilibrio_termico	argumentacao_logica; modelagem_fisica	0.99	false	1.0
ITA-MC-2021-P1-FIS-Q007	ondas	movimento_harmonico_simples	massa_mola; mudanca_de_frequencia; perturbacao_de_massa	modelagem_fisica; raciocinio_algebrico	0.99	false	1.0
ITA-MC-2021-P1-FIS-Q008	ondas	acustica	cordas_vibrantes; ressonancia; frequencia	argumentacao_logica; modelagem_fisica	0.99	false	1.0
ITA-MC-2021-P1-FIS-Q009	optica	lentes_e_espelhos	lente_biconvexa; indice_relativo; equacao_do_fabricante	modelagem_fisica; argumentacao_logica	0.99	false	1.0
ITA-MC-2021-P1-FIS-Q010	optica	interferencia	dupla_fenda; maximos; angulo_de_interferencia	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2021-P1-FIS-Q011	eletrostatica	carga_campo_potencial	esferas_condutoras; equilibrio_eletrostatico; densidade_superficial	argumentacao_logica; modelagem_fisica	0.90	false	1.0
ITA-MC-2021-P1-FIS-Q012	circuitos_eletricos	corrente_e_resistencia	curvas_iv; associacao_de_resistores; resistencia_equivalente	interpretacao_de_graficos; modelagem_fisica	0.99	false	1.0
ITA-MC-2021-P1-FIS-Q013	circuitos_eletricos	circuitos_cc	flash_fotografico; capacitor; tempo_de_descarga	modelagem_fisica; calculo_numerico	0.95	false	1.0
ITA-MC-2021-P1-FIS-Q014	eletromagnetismo	campo_magnetico	cilindro_condutor_oco; lei_de_ampere; perfil_de_campo	interpretacao_de_graficos; modelagem_fisica	0.99	false	1.0
ITA-MC-2021-P1-FIS-Q015	eletromagnetismo	inducao_eletromagnetica	bobina; rotacao; fem_media	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2021-P1-ING-Q031	reading_comprehension	detail	world_war_i; historical_context; factual_detail	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2021-P1-ING-Q032	vocabulary	meaning_in_context	startled; contextual_meaning; synonymy	leitura_em_ingles; analise_linguistica	0.99	false	1.0
ITA-MC-2021-P1-ING-Q033	vocabulary	synonyms_and_antonyms	likeliness; likeness; likelihood	leitura_em_ingles; analise_linguistica	0.99	false	1.0
ITA-MC-2021-P1-ING-Q034	inference	author_intent	irony; intelligence; presidency	leitura_em_ingles; interpretacao_de_texto	0.95	false	1.0
ITA-MC-2021-P1-ING-Q035	reading_comprehension	main_idea	demagogues; audience_intelligence; persuasion	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2021-P1-ING-Q036	reading_comprehension	detail	third_paragraph; citizen; intelligence	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2021-P1-ING-Q037	reading_comprehension	detail	narrator; neighborhood; family	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2021-P1-ING-Q038	text_structure	rhetorical_function	irony; hyperbole; narrative_effect	leitura_em_ingles; interpretacao_de_texto	0.95	false	1.0
ITA-MC-2021-P1-ING-Q039	vocabulary	meaning_in_context	translation; murder; neighborhood	leitura_em_ingles; analise_linguistica	0.99	false	1.0
ITA-MC-2021-P1-ING-Q040	reference_and_cohesion	connectors	still; concession; discourse_marker	leitura_em_ingles; analise_linguistica	0.99	false	1.0
ITA-MC-2021-P1-MAT-Q041	matrizes_e_sistemas	matrizes	symmetric_matrix; antisymmetric_matrix; determinant	raciocinio_algebrico; argumentacao_logica	0.99	false	1.0
ITA-MC-2021-P1-MAT-Q042	algebra	equacoes_e_inequacoes	inequality; polynomial_expression; solution_set	raciocinio_algebrico; resolucao_de_problemas	0.90	false	1.0
ITA-MC-2021-P1-MAT-Q043	geometria_analitica	circunferencia	isosceles_triangle; circle; coordinates; area	modelagem_matematica; raciocinio_geometrico	0.99	false	1.0
