question_id	topic	subtopic	concepts	skills	classification_confidence	needs_topic_review	taxonomy_version
ITA-MC-2008-SP-FIS-Q001	circuitos_eletricos	circuitos_cc	associacao_de_fontes; brilho_de_lampadas; corrente_eletrica	modelagem_fisica; interpretacao_de_figuras	0.96	false	1.0
ITA-MC-2008-SP-FIS-Q002	mecanica	gravitacao	lei_de_kepler; orbita_circular; massa_estelar	modelagem_fisica; aplicacao_de_formulas	0.98	false	1.0
ITA-MC-2008-SP-FIS-Q003	mecanica	equilibrio_e_estatica	torque; equilibrio_estatico; reacoes_de_apoio	modelagem_fisica; interpretacao_de_figuras	0.98	false	1.0
ITA-MC-2008-SP-FIS-Q004	mecanica	gravitacao	peso_aparente; rotacao_da_terra; latitude	modelagem_fisica; argumentacao_logica	0.90	false	1.0
ITA-MC-2008-SP-FIS-Q005	ondas	ondas_mecanicas	intensidade_de_onda; analise_dimensional; propagacao	analise_dimensional; modelagem_fisica	0.85	false	1.0
ITA-MC-2008-SP-FIS-Q006	ondas	movimento_harmonico_simples	fase; periodo; amplitude	modelagem_fisica; aplicacao_de_formulas	0.99	false	1.0
ITA-MC-2008-SP-FIS-Q007	eletromagnetismo	campo_magnetico	campo_de_fio_retilineo; regra_da_mao_direita	modelagem_fisica; interpretacao_de_figuras	0.99	false	1.0
ITA-MC-2008-SP-FIS-Q008	eletromagnetismo	torque_magnetico	espira_com_corrente; momento_magnetico; torque	modelagem_fisica; raciocinio_geometrico	0.99	false	1.0
ITA-MC-2008-SP-FIS-Q009	fisica_moderna	fisica_de_particulas	aniquilacao_eletron_positron; energia_do_foton; comprimento_de_onda	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2008-SP-FIS-Q010	eletromagnetismo	inducao_eletromagnetica	fluxo_magnetico; lei_de_faraday; carga_induzida	modelagem_fisica; aplicacao_de_formulas	0.99	false	1.0
ITA-MC-2008-SP-FIS-Q011	eletromagnetismo	forca_magnetica	forca_sobre_condutor; corrente_eletrica; campo_magnetico	modelagem_fisica; interpretacao_de_figuras	0.98	false	1.0
ITA-MC-2008-SP-FIS-Q012	mecanica	trabalho_e_energia	atrito; plano_inclinado; energia_mecanica	modelagem_fisica; aplicacao_de_formulas	0.88	false	1.0
ITA-MC-2008-SP-FIS-Q013	mecanica	impulso_e_momento	conservacao_do_momento; sistema_gato_prancha; lancamento	modelagem_fisica; interpretacao_de_figuras	0.84	false	1.0
ITA-MC-2008-SP-FIS-Q014	mecanica	trabalho_e_energia	energia_elastica; mola; conservacao_de_energia	modelagem_fisica; interpretacao_de_figuras	0.85	false	1.0
ITA-MC-2008-SP-FIS-Q015	ondas	ondas_mecanicas	impedancia; reflexao_de_ondas; transmissao_de_ondas	modelagem_fisica; interpretacao_de_figuras	0.85	false	1.0
ITA-MC-2008-SP-FIS-Q016	ondas	ondas_mecanicas	harmonicos; superposicao; forma_de_onda	interpretacao_de_graficos; modelagem_fisica	0.96	false	1.0
ITA-MC-2008-SP-FIS-Q017	mecanica	impulso_e_momento	colisao_inelastica; conservacao_do_momento; tensao_na_corda	modelagem_fisica; interpretacao_de_figuras	0.91	false	1.0
ITA-MC-2008-SP-FIS-Q018	optica	interferencia	experimento_de_dupla_fenda; comprimento_de_onda; maximos_de_interferencia	modelagem_fisica; aplicacao_de_formulas	0.99	false	1.0
ITA-MC-2008-SP-FIS-Q019	eletrostatica	capacitores	capacitor_de_placas_paralelas; dieletrico; capacitancia	modelagem_fisica; interpretacao_de_figuras	0.85	false	1.0
ITA-MC-2008-SP-FIS-Q020	termodinamica	gases	gas_ideal; compressao; trabalho_termodinamico	modelagem_fisica; interpretacao_de_graficos	0.85	false	1.0
ITA-MC-2008-SP-ING-Q001	reading_comprehension	detail	information_retrieval; factual_detail	leitura_em_ingles; interpretacao_de_texto	0.98	false	1.0
ITA-MC-2008-SP-ING-Q002	vocabulary	meaning_in_context	word_meaning; contextual_vocabulary	leitura_em_ingles; analise_linguistica	0.99	false	1.0
ITA-MC-2008-SP-ING-Q003	reading_comprehension	detail	information_location; textual_detail	leitura_em_ingles; interpretacao_de_texto	0.95	false	1.0
ITA-MC-2008-SP-ING-Q004	inference	implicit_meaning	textual_inference; character_information	leitura_em_ingles; interpretacao_de_texto	0.98	false	1.0
