question_id	topic	subtopic	concepts	skills	classification_confidence	needs_topic_review	taxonomy_version
ITA-MC-2018-SP-FIS-Q001	fisica_moderna	relatividade	estrela_de_neutrons; vibracao_radial; analise_dimensional	analise_dimensional; modelagem_fisica	0.90	false	1.0
ITA-MC-2018-SP-FIS-Q002	mecanica	cinematica	lancamento_obliquo; trajetoria; rede_de_volei	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2018-SP-FIS-Q003	mecanica	equilibrio_e_estatica	rolamento; prancha_em_equilibrio; torque	modelagem_fisica; interpretacao_de_figuras	0.95	false	1.0
ITA-MC-2018-SP-FIS-Q004	mecanica	impulso_e_momento	haste_articulada; colisao; conservacao_do_momento	modelagem_fisica; interpretacao_de_figuras	0.90	false	1.0
ITA-MC-2018-SP-FIS-Q005	ondas	efeito_doppler	buzina; frequencia_percebida; velocidade_do_carro	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2018-SP-FIS-Q006	fluidos	hidrostatica	pressao_hidrostatica; tanque_tronco_conico; escoamento	modelagem_fisica; interpretacao_de_figuras	0.95	false	1.0
ITA-MC-2018-SP-FIS-Q007	mecanica	cinematica	lancamentos; tempo_de_queda; velocidade_final	modelagem_fisica; argumentacao_logica	0.99	false	1.0
ITA-MC-2018-SP-FIS-Q008	mecanica	cinematica	velocidade_instantanea; velocidade_media; grafico	interpretacao_de_graficos; modelagem_fisica	0.99	false	1.0
ITA-MC-2018-SP-FIS-Q009	eletromagnetismo	forca_magnetica	orbita_de_carga; campo_magnetico_dipolar; periodo	modelagem_fisica; aplicacao_de_formulas	0.95	false	1.0
ITA-MC-2018-SP-FIS-Q010	mecanica	impulso_e_momento	corpo_em_tubo; conservacao_do_momento; energia	modelagem_fisica; interpretacao_de_figuras	0.95	false	1.0
ITA-MC-2018-SP-FIS-Q011	mecanica	colisoes	movimento_circular; colisao; velocidades_pos_choque	modelagem_fisica; resolucao_de_problemas	0.95	false	1.0
ITA-MC-2018-SP-FIS-Q012	eletrostatica	carga_campo_potencial	dipolos_eletricos; interacao_entre_dipolos; aproximacao_distante	modelagem_fisica; raciocinio_algebrico	0.95	false	1.0
ITA-MC-2018-SP-FIS-Q013	mecanica	gravitacao	quatro_massas; quadrado; periodo_orbital	modelagem_fisica; interpretacao_de_figuras	0.95	false	1.0
ITA-MC-2018-SP-FIS-Q014	optica	lentes_e_espelhos	espelhos_esfericos; imagem_real_virtual; distancia_objeto	modelagem_fisica; interpretacao_de_figuras	0.99	false	1.0
ITA-MC-2018-SP-FIS-Q015	fisica_moderna	quantica	difracao_de_raios_x; de_broglie; estrutura_cristalina	modelagem_fisica; interpretacao_de_figuras	0.95	false	1.0
ITA-MC-2018-SP-FIS-Q016	ondas	movimento_harmonico_simples	molas; equilibrio; deslocamento	modelagem_fisica; interpretacao_de_figuras	0.92	false	1.0
ITA-MC-2018-SP-FIS-Q017	termodinamica	leis_da_termodinamica	demonio_de_maxwell; entropia; segunda_lei	argumentacao_logica; resolucao_de_problemas	0.99	false	1.0
ITA-MC-2018-SP-FIS-Q018	eletromagnetismo	forca_magnetica	fios_com_corrente; forca_magnetica; torque	modelagem_fisica; interpretacao_de_figuras	0.85	false	1.0
ITA-MC-2018-SP-FIS-Q019	mecanica	movimento_circular	pendulo_rigido; arrasto_do_ar; velocidade_angular	modelagem_fisica; interpretacao_de_figuras	0.82	false	1.0
ITA-MC-2018-SP-FIS-Q020	termodinamica	gases	gases_em_recipientes; equilibrio_termico; valvula	modelagem_fisica; argumentacao_logica	0.85	false	1.0
ITA-MC-2018-SP-ING-Q001	reading_comprehension	detail	fumio; minimalism; factual_detail	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2018-SP-ING-Q002	reading_comprehension	detail	material_possessions; fumio; factual_detail	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2018-SP-ING-Q003	reading_comprehension	detail	fumio; lifestyle_change; factual_detail	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2018-SP-ING-Q004	grammar	syntax	comparative_adjectives; superlative; degree	leitura_em_ingles; analise_linguistica	0.99	false	1.0
ITA-MC-2018-SP-ING-Q005	reference_and_cohesion	pronoun_reference	pronouns; antecedents; textual_reference	leitura_em_ingles; analise_linguistica	0.99	false	1.0
ITA-MC-2018-SP-ING-Q006	grammar	modals	modal_verbs; semantic_value; advice	leitura_em_ingles; analise_linguistica	0.99	false	1.0
ITA-MC-2018-SP-ING-Q007	reading_comprehension	detail	women_entrepreneurs; venture_capital; factual_detail	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2018-SP-ING-Q008	reading_comprehension	detail	sweden; women_owned_businesses; investment	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2018-SP-ING-Q009	reading_comprehension	detail	investor_bias; gender; entrepreneurship	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2018-SP-ING-Q010	reading_comprehension	detail	entrepreneurial_qualities; gender_bias	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
