question_id	topic	subtopic	concepts	skills	classification_confidence	needs_topic_review	taxonomy_version
ITA-MC-2022-P1-FIS-Q001	fisica_moderna	geral	unidades_si; constantes_fundamentais; redefinicao_do_si	argumentacao_logica; analise_dimensional	0.95	false	1.0
ITA-MC-2022-P1-FIS-Q002	mecanica	colisoes	colisao_vertical; coeficiente_de_restituicao; velocidades_pos_choque	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2022-P1-FIS-Q003	mecanica	equilibrio_e_estatica	ponte_levadica; torque; tensao_maxima	modelagem_fisica; interpretacao_de_figuras	0.99	false	1.0
ITA-MC-2022-P1-FIS-Q004	mecanica	movimento_circular	escorregador_circular; forca_normal; energia	modelagem_fisica; interpretacao_de_figuras	0.95	false	1.0
ITA-MC-2022-P1-FIS-Q005	mecanica	gravitacao	balanca_de_torcao; constante_gravitacional; cavendish	modelagem_fisica; interpretacao_de_figuras	0.99	false	1.0
ITA-MC-2022-P1-FIS-Q006	fluidos	hidrodinamica	bernoulli; continuidade; tubo_horizontal	modelagem_fisica; aplicacao_de_formulas	0.99	false	1.0
ITA-MC-2022-P1-FIS-Q007	mecanica	impulso_e_momento	massa_mola; centro_de_massa; impulso_externo	modelagem_fisica; interpretacao_de_figuras	0.92	false	1.0
ITA-MC-2022-P1-FIS-Q008	termodinamica	dilatacao	lamina_bimetalica; curvatura; dilatacao_linear	modelagem_fisica; interpretacao_de_figuras	0.99	false	1.0
ITA-MC-2022-P1-FIS-Q009	ondas	acustica	cordas_de_piano; frequencia; densidade_linear	argumentacao_logica; modelagem_fisica	0.99	false	1.0
ITA-MC-2022-P1-FIS-Q010	optica	lentes_e_espelhos	lente_convergente; espelho_concavo; formacao_de_imagens	modelagem_fisica; interpretacao_de_figuras	0.99	false	1.0
ITA-MC-2022-P1-FIS-Q011	optica	interferencia	dupla_fenda; duas_cores; franjas_coincidentes	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2022-P1-FIS-Q012	eletrostatica	carga_campo_potencial	particula_carregada; campo_eletrico; movimento_vertical	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2022-P1-FIS-Q013	eletrostatica	capacitores	octaedro; rede_de_capacitores; capacitancia_equivalente	modelagem_fisica; raciocinio_geometrico	0.99	false	1.0
ITA-MC-2022-P1-FIS-Q014	eletromagnetismo	inducao_eletromagnetica	solenoides_acoplados; inducao_mutua; resistividade	modelagem_fisica; raciocinio_algebrico	0.99	false	1.0
ITA-MC-2022-P1-FIS-Q015	fisica_moderna	fisica_nuclear	fusao_solar; conversao_massa_energia; irradiancia	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2022-P1-ING-Q031	reading_comprehension	detail	political_theory; stupidity; factual_detail	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2022-P1-ING-Q032	reference_and_cohesion	connectors	moreover; addition; discourse_marker	leitura_em_ingles; analise_linguistica	0.99	false	1.0
ITA-MC-2022-P1-ING-Q033	reference_and_cohesion	connectors	albeit; concession; semantic_equivalence	leitura_em_ingles; analise_linguistica	0.99	false	1.0
ITA-MC-2022-P1-ING-Q034	reading_comprehension	detail	women; panel_discussion; factual_detail	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
ITA-MC-2022-P1-ING-Q035	reading_comprehension	detail	endangered_languages; marianne_mithun; factual_detail	leitura_em_ingles; interpretacao_de_texto	0.99	false	1.0
